time,Bx,By,Bz,Btotal
0.000,-161.71,-57.04,322.51,365.26
0.010,-161.77,-57.08,322.45,365.24
0.020,-161.87,-57.15,322.42,365.27
0.030,-161.87,-57.17,322.55,365.39
0.040,-161.89,-57.08,322.47,365.31
0.050,-161.85,-57.03,322.51,365.33
0.060,-161.79,-57.05,322.45,365.25
0.070,-161.41,-56.93,321.70,364.40
0.080,-161.55,-56.97,321.67,364.44
0.090,-161.59,-56.98,321.69,364.48
0.100,-161.58,-56.87,321.58,364.35
0.110,-161.51,-56.79,321.60,364.34
0.120,-161.56,-56.74,321.56,364.31
0.130,-161.67,-56.72,321.56,364.36
0.140,-161.69,-56.74,321.60,364.41
0.150,-161.70,-56.82,321.55,364.38
0.160,-161.63,-56.87,321.67,364.46
0.170,-161.61,-56.85,321.66,364.44
0.180,-161.51,-56.86,321.71,364.44
0.190,-161.51,-56.88,321.69,364.42
0.200,-161.56,-56.96,321.71,364.47
0.210,-161.57,-56.99,321.80,364.56
0.220,-161.54,-57.00,321.72,364.48
0.230,-161.38,-56.96,321.78,364.46
0.240,-161.42,-56.88,321.72,364.41
0.250,-161.49,-56.82,321.79,364.50
0.260,-161.53,-56.82,321.72,364.45
0.270,-161.57,-56.96,321.79,364.55
0.280,-161.53,-56.96,321.81,364.55
0.290,-161.53,-56.92,321.77,364.50
0.300,-161.47,-56.88,321.81,364.51
0.310,-161.46,-56.82,321.76,364.46
0.320,-161.49,-56.84,321.85,364.55
0.330,-161.52,-56.78,321.71,364.43
0.340,-161.55,-56.79,321.69,364.43
0.350,-161.64,-56.79,321.65,364.43
0.360,-161.69,-56.77,321.63,364.43
0.370,-161.62,-56.75,321.74,364.49
0.380,-161.59,-56.73,321.70,364.44
0.390,-161.53,-56.77,321.71,364.43
0.400,-161.55,-56.77,321.71,364.44
0.410,-161.55,-56.78,321.71,364.45
0.420,-161.55,-56.76,321.65,364.39
0.430,-161.50,-56.76,321.58,364.30
0.440,-161.50,-56.77,321.49,364.23
0.450,-161.48,-56.78,321.46,364.19
0.460,-161.61,-56.75,321.50,364.28
0.470,-161.68,-56.75,321.47,364.29
0.480,-161.77,-56.72,321.53,364.37
0.490,-161.73,-56.69,321.58,364.39
0.500,-161.74,-56.66,321.61,364.42
0.510,-161.70,-56.71,321.65,364.45
0.520,-161.69,-56.75,321.61,364.41
0.530,-161.74,-56.69,321.58,364.40
0.540,-161.85,-56.69,321.57,364.44
